Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
HSI 9/27/24 C18800,18800,1512,1613,1563,22.81745148,0,HSI 9/27/24 P18800,18800,1829,1878,1854,22.93299675,0
HSI 9/27/24 C18900,18900,1463,1566,1515,22.71025658,0,HSI 9/27/24 P18900,18900,0,0,1857,0,0
HSI 9/27/24 C19000,19000,1419,1520,1470,22.63270378,0,HSI 9/27/24 P19000,19000,0,0,1912,0,0
HSI 9/27/24 C19100,19100,1379,1484,1432,22.63879013,0,HSI 9/27/24 P19100,19100,0,0,1967,0,0
HSI 9/27/24 C19200,19200,1337,1432,1385,22.51265144,0,HSI 9/27/24 P19200,19200,0,0,2024,0,0
HSI 9/27/24 C19300,19300,1293,1390,1342,22.42977715,0,HSI 9/27/24 P19300,19300,0,0,2081,0,0
30-Dec-24 (487d); CSize 50,,,,,,,,,,,,,
HSI 12/30/24 C16400,16400,3182,3257,3218,25.93595505,0,HSI 12/30/24 P16400,16400,956,1002,948,23.97010422,0
HSI 12/30/24 C16600,16600,3038,3119,3084,25.53195572,0,HSI 12/30/24 P16600,16600,1018,1065,1014,23.82899094,0
HSI 12/30/24 C16800,16800,2904,2984,2952,25.19801331,0,HSI 12/30/24 P16800,16800,1083,1131,1082,23.69272995,0
HSI 12/30/24 C17000,17000,2780,2853,2824,24.92967415,0,HSI 12/30/24 P17000,17000,1152,1200,1154,23.56733513,0
HSI 12/30/24 C17200,17200,2642,2713,2678,24.47811508,0,HSI 12/30/24 P17200,17200,1217,1266,1242,23.35836411,0
HSI 12/30/24 C17400,17400,2519,2589,2554,24.20745468,0,HSI 12/30/24 P17400,17400,1293,1343,1318,23.25790024,0
HSI 12/30/24 C17600,17600,2399,2468,2434,23.93751335,0,HSI 12/30/24 P17600,17600,1372,1423,1398,23.16333961,0
HSI 12/30/24 C17800,17800,2284,2352,2318,23.70630646,0,HSI 12/30/24 P17800,17800,1456,1507,1482,23.08554649,0
HSI 12/30/24 C18000,18000,2172,2239,2206,23.47915649,0,HSI 12/30/24 P18000,18000,1543,1594,1569,23.0094738,0
HSI 12/30/24 C18200,18200,2064,2130,2097,23.2693882,0,HSI 12/30/24 P18200,18200,1632,1685,1659,22.93447876,0
HSI 12/30/24 C18400,18400,1960,2024,1992,23.06936455,0,HSI 12/30/24 P18400,18400,1726,1781,1754,22.88491058,0
HSI 12/30/24 C18600,18600,1860,1922,1891,22.8843174,0,HSI 12/30/24 P18600,18600,1824,1880,1852,22.84170341,0
HSI 12/30/24 C18800,18800,1763,1824,1794,22.70744133,0,HSI 12/30/24 P18800,18800,1926,1983,1955,22.8110981,0
HSI 12/30/24 C19000,19000,1670,1730,1700,22.54455376,0,HSI 12/30/24 P19000,19000,2032,2090,2061,22.79341698,0
HSI 12/30/24 C19200,19200,1582,1641,1612,22.4077549,0,HSI 12/30/24 P19200,19200,2142,2201,2172,22.78929329,0
HSI 12/30/24 C19400,19400,1502,1562,1545,22.34593201,0,HSI 12/30/24 P19400,19400,2264,2325,2275,22.90303993,0
HSI 12/30/24 C19600,19600,1420,1479,1461,22.21367836,0,HSI 12/30/24 P19600,19600,2382,2444,2391,22.92912674,0
HSI 12/30/24 C19800,19800,1343,1401,1381,22.10878372,0,HSI 12/30/24 P19800,19800,2503,2566,2511,22.9600563,0
HSI 12/30/24 C20000,20000,1268,1325,1304,21.99004364,0,HSI 12/30/24 P20000,20000,2627,2692,2634,22.99795723,0
HSI 12/30/24 C20400,20400,1130,1184,1159,21.79835701,0,HSI 12/30/24 P20400,20400,2887,2954,2889,23.12301445,0
27-Jun-25 (666d); CSize 50,,,,,,,,,,,,,
HSI 6/27/25 C16400,16400,3431,3531,3491,25.93057251,0,HSI 6/27/25 P16400,16400,1192,1260,1194,23.95388603,0
HSI 6/27/25 C16600,16600,3299,3400,3362,25.60243607,0,HSI 6/27/25 P16600,16600,1259,1329,1265,23.84783173,0
